,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,DELAWARE (DE),,,Governor,Delaware State Housing Authority,Tenancy Preservation,N,DE_Gov_RentalAssistanceProgram_032620,3/26/20,3/26/20,Duration of Crisis,,Partial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Announced the creation of the Delaware Housing Assistance Program (DE HAP), which will provide up to $1,500 in assistance with rent or utilities if one has an income ""at or below 80% of the Area Median Income (AMI) for the county in which they reside"" ",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,Y,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLORIDA (FL) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14 the order was extended to June 2, on June 1 it was extended to July 1, on June 30 it was extended to July 31, and on July 29 it was extended to September 1st. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters. ",Court/Governor,,,COVID-19 Related,,,,9/1/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 07/02",N,N,N,N,Y,N,N,N,N,Y,N,,,,,,,,,,,,,,,Y,
,FLORIDA (FL) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLORIDA (FL),,,Court,Supreme Court ,Eviction Moratorium,Y,FL_SupremeCourt_OrderNo.AOSC20-23_060820,6/8/20,6/8/20,6/20/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N,N,N/A,Y,"7/2 (requirement that clerk issue writs of possession ""forthwith"" remains suspended)",N,N,N,N,Y,N,N,N,N,N,N,"The requirement in Florida Rule of Civil Procedure 1.580(a) for the clerk to issue a writ of possession “forthwith” remains suspended through June 30, 2020.",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N,N/A
,FLORIDA (FL),,,Court,Supreme Court,Eviction Moratorium,Y,FL_SupremeCourt_OrderNo._AOSC20-23_052120,5/21/20,5/21/20,7/2/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N,N,N/A,Y,"7/2 (requirement that clerk issue writs of possession ""forthwith"" remains suspended)",N,N,N,N,N,N,N,N,N,N,N,"Extends date of suspension of civil jury trials to July 2, 2020 [§ III(A)]. Essential and critical trial court proceedings to continue remotely, and if necessary, in person [§ III(B)]. Eviction proceedings are not among those non-emergency/non-critical proceedings listed as ""amenable"" to being conducted remotely [§ III(C)]. Requirement for writs of possession to be issued ""forthwith"" continues to be suspended [§ VIII].",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N,N/A
,FLORIDA (FL),,,Court,Supreme Court,Eviction Moratorium,Y,FL_SupremeCourt_OrderNo.AOSC20-23_050720,5/4/20,5/4/20,5/29/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N/A,N/A,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 5/29",N,N,N,Local Discretion,Local Discretion,N,N,N,N,N,N,"Lists that certain procedures are amenable to being conducted remotely, including nonjury civil trials, and states that judges should conduct them remotely unless there would be a constitutional issue or they are unable to. Requirement for writs of possession to be issued ""forthwith"" continues to be suspended.",,,,,,,,,,,,,,,
,FLORIDA (FL),,,Court,Supreme Court,Eviction Moratorium,N,FL_SupremeCourt_OrderNoAoSC20-23_040620,4/6/20,4/6/20,5/29/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N/A,N/A,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 5/29",N,N,N,Local Discretion,Local Discretion,N,N,N,N,N,N,"Extends date of previous order; additional logistics re jury trials and criminal/family cases. Also states that requirement for writ of possession to be issued ""forthwith"" is suspended through 5/29/20.",,,,,,,,,,,,,,,
,FLORIDA (FL),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,FL_SupremeCourt_OrderNo. AOSC20-17_032420,3/24/20,3/24/20,4/17/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N/A,N/A,N/A,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 4/17",N,N,N,Local Discretion,Local Discretion,N,N,N,N,N,N,"Extends date of previous order; additional logistics re jury trials and criminal/family cases. Also states that requirement for writ of possession to be issued ""forthwith"" is suspended through 4/17.",,,,,,,,,,,,,,,
,FLORIDA (FL),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,FL_SupremeCourt_OrderNo. AOSC20-15_031720,3/17/20,3/17/20,3/27/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,,N,N,N,Local Discretion,Local Discretion,N,N,N,N,N,N,"Directs court to fulfill essential proceedings, list does not include eviction; says courts should cancel other proceedings to the extent they cannot be done through technology",,,,,,,,,,,,,,,
,FLORIDA(FL),,,Governor,Ron DeSantis,Eviction Moratorium,COVID-19 Related,FL_Governor_ExecutiveOrder20-180_072930,7/29/20,7/29/20,9/1/20,,N,N,N/A,N/A,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,N,N/A,N,N,N,N,Y,N,N,N/A,N,N,N,Extends eviction moratorium until 9/1. Suspends and tolls any statute providing for final action at the conclusion of an eviction proceeding under Florida law sole ly when the proceeding arises from non-payment of rent by a residential tenant adversely affected by the COVID-19 emergency. Does the same for mortgages of single-family homes. ,N,N,N,N,N,,,,,,,,,,
,FLORIDA (FL),,,Governor,Ron DeSantis,Eviction Moratorium,COVID-19 Related,FL_Governor_ExecutiveOrder20-159_063020,6/30/20,6/30/20,8/1/20,,Y,N,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment related to COVID-19,N,,N,N,In Effect Y,In Effect Y,N,N,N,N,N,N,N,Extends previous order until 8/1,,,,,,,,,,,,,,,
,FLORIDA (FL),,,Governor,Ron DeSantis,Tenancy Preservation,N,FL_Governor_HousingRelief_062520,6/25/20,Pending,,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The Governor announced $250 million in housing relief. $120 million will be administered by the Florida Housing Finance Corporation (FHFC) to aid households in its portfolio through December 2020. Another $120 million will be released to counties based on thier reemployment rates for rental and homeowner assistance programs such as new construction, rehabilitation, mortgage buydowns, down payment and closing cost assistance, emergency repairs and homeownership counseling for individuals impacted by COVID-19. The remaining $10 million will be used for administrative costs. ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A
,FLORIDA (FL),,,Governor,Ron DeSantis,Eviction Moratorium,COVID-19 Related,FL_Governor_ExecutiveOrder20-137_060120,6/1/20,6/1/20,7/1/20,,Y,N,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment related to COVID-19,N,,N,N,In Effect Y,In Effect Y,N,N,N,N,N,Y,N,Extends previous order until 7/1.,,,,,,,,,,,,,,,
,FLORIDA (FL),,,Governor,Ron DeSantis,Eviction Moratorium,COVID-19 Related,FL_Governor_ExecutiveOrder20-221_051420,5/14/20,5/14/20,6/2/20,,N,N,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment related to COVID-19,N,,N,N,In Effect Y,In Effect Y,N,N,N,N,N,Y,N,Extends previous order until 6/2.,,,,,,,,,,,,,,,
,FLORIDA (FL),,,Governor,Ron DeSantis,Eviction Moratorium,COVID-19 Related,FL_Governor_EONo.20-94_040220,4/2/20,4/2/20,5/19/20,,Y,N,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment related to COVID-19,N,,N,N,In Effect Y,In Effect Y,N,N,N,N,N,Y,N,Statutes providing for foreclosure and eviction are suspended and tolled.,,,,,,,,,,,,,,,
,FLORIDA (FL),,,N/A,Florida Housing Finance Corporation,Short Term Housing Support,N,FL_FloridaHousingFinanceCorporation_Notice_043020,4/30/20,4/30/20,termination of gov order or finalization of rule,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,Emergency rule issued by Florida Housing Finance Corporation discouraging rent increases; property owners who do will be given priority for future financing.,,,,,,,,,,,,,,,
,,,,,Florida Housing Finance Corporation,N/A,N,FL_FloridaHousingFinanceCorporation_COVID-19_Funding_Matrix_061220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"This entry provides a link to a detailed funding matrix of housing support to counties.  Of this funding, HUD posted the most recent award totals for community development block grant and emergency solutions grant funding, available here: https://www.hud.gov/program_offices/comm_planning/budget/fy20.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GEORGIA (GA) CURRENT 
SUMMARY",Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",Court,,,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/13/20,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,
,"GEORGIA (GA) PEAK COVERAGE
SUMMARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Y,GA_SupremeCourt_Order_071320,7/13/20,7/13/20,8/11/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,8/11/20,N,N,N,N,N,N,N,N,N,N,N,"Extends statewide judicial emergency through 8/11. Prohibition on jury trials remain in effect. This order reimposes all deadlines and other time schedules and filing requirements that are imposed on litigants by statutes, rules, regulations, or court orders in civil and criminal cases and administrative actions and that have been suspended, tolled, extended, or otherwise relieved by the March 14, 2020 Order Declaring Statewide Judicial Emergency. For cases that were filed between March 14 and July 13 deadlines will begin running on July 14. Courts have local discretion when it comes to remote/in-person proceedings. ",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,N,
,GEORGIA (GA),,,Court,Georgia Supreme Court,Eviction Moratorium,,GA_SupremeCourt_Order_061220,6/12/20,6/12/20,7/12/20,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,7/14/20,N,N,N,N,N,N,N,N,N,N,N,"Extends statewide judicial emergency through 7/12. Local courts have the discretion to hold in-person proceedings on non-jury matters, though remote proceedings are still encouraged (III)(A). Announces that deadlines on litigants in non-jury matters will be reimposed on 7/14 (II)(A). For cases filed before 3/14, the same amount of time that was remaining at 3/14 will remain after 7/14; for cases filed after 3/14, the clock will start running on 7/14. (II)(A)(3-4) The time from 3/14-7/14 is excluded from statute of limitations calculations (II)(A)(10). Reaffirms that under 5/11 order, judges can reinstate deadlines even before 7/14 (II)(C). Reaffirms that local courts may impose more restrictive emergency orders (V)(A).",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,N,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,,GA_SupremeCourt_Order_052120,5/21/20,5/28/20,180 days after 5/21,,N,N,N/A,N/A,Y,N,N,N,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N,"Enacts Supreme Court of GA Temporary Rule 11.1, providing that in proceedings before the Georgia Supreme Court for which any filing deadlines have been suspended by a judicial emergency order (statewide or local), parties must attach a certificate of timeliness when submitting the filing so affected.",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,,GA_SupremeCourt_Notice_052120,5/21/20,5/28/20,,,N,N,Local Discretion,N/A,Y,N,N,N,N/A,N/A,N/A,N,,N,N,N,N,N,N,N,N/A,N/A,N/A,N,"Court will be reinstating deadlines (that were tolled under the judicial emergency) in almost all pending cases (from prior to 5/28). Effective 5/28, parties in pending cases will have the same amount of time to submit their filings as they had remaining at the time the emergency order first went into effect. This reinstatement does not revoke the extension of deadlines for initially filing new proceedings in the Court. In almost all new cases docketed in the Court on or after 5/28, the normal deadlines under the Court’s rules will be in effect and will not be subject to tolling or extension under the emergency order, although parties may seek extensions of time for good cause (related to COVID-19 or otherwise).",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,GA_SupremeCourt_Order_051120,5/11/20,5/11/20,6/12/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,6/12/20,N,N,N,N,N,N,N,N,N,N,N,Extends statewide judicial emergency through 6/12. Urges courts to develop a plan for resuming operations and to increase use of electonic appearances [§ 4]. The judicial circuits may impose more restrictive judicial emergency orders if required by local conditions [§ 5]. Judges have the authority to reinstate/establish deadlines that were previously suspended/tolled by Judicial Order of Emergency [§ 6].,N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Y,GA_ChiefJustice_ExtendsJudicialEmergency_050420,,,6/12/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Extends statewide judicial emergency,,,,,,,,,,,,,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Y,GA_Supreme Court_Order_043020,4/30/20,4/30/20,5/25/20,,Y,N,N/A,N/A,N,Y,N,N,N,N,N/A,N,N,N,N,N,N,N,N,N,Y,N,N,N,"Landlord must submit affidavit when filing complaint indicating whether the property is subject to the CARES Act. If it is, landlords should not send required 30-day notice before July 26.",,,,,,,,,,,,,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,GA_SupremeCourt_Order_040620,4/6/20,4/6/20,5/13/20,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/13/20,N,N,N,N,N,N,N,N,N,N,N,"Extends statewide judicial emergency. Specifies that with regard to non-essential matters, courts are ""encouraged to proceed to the extent feasible and consistent with public health guidance,"" such as by phone/video.",,,,,,,,,,,,,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Y,GA_SupremeCourt_Appendix_032720,3/27/20,,When the relevant judicial state of emergency order expires,,N,N,N/A,N/A,Y,Y,N,N,N,N,N/A,Y,When the relevant judicial state of emergency expires,N,N,N,N,N,N,N,N/A,N/A,N/A,N,"Clarifies tolling of deadlines under the statewide judicial emergency, for eviction cases and all other proceedings. For filing deadlines after 3/14, the deadline is tolled until the expiration of the emergency order. Whatever amount of time remained before the filing was due prior to the date of the statewide declaration, or prior to any applicable local or circuit-wide order, will remain after the judicial emergency declaration has expired or is otherwise terminated.",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,,
,GEORGIA (GA),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,GA_SupremeCourt_JudicialEmergency_031420,3/14/20,3/14/20,4/13/20,,Y,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Y,4/13/20,N,N,N,N,N,N,N,N,N,N,N,"Announces statewide judicial emergency; says courts should remain open and give priority to essential matters. Urges that proceedings, when they are held, be conducted by video.",,,,,,,,,,,,,,,
,GEORGIA (GA),,,Court,Magistrate Court of Fulton County,Eviction Moratorium,Y,GA_MagistrateCourtof FultonCounty_StandingOrder_071320,7/13/20,7/13/20,11/2/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,N,N,N,N,N,N,N,N,N,N,"Suspends all in-person proceedings until at least 11/2/20 and will continue remotely. Parties may choose to resolve their cases using ZOOM, however, those who choose not to use ZOOM will have to wait for an in-person hearing until November (effectively pausing evictions for tenants that choose to wait for an in-person hearing). All remote hearings will require the consent of both parties. Parties wishing to continue their landlord-tenant dispute will be scheduled for the week of 8/10.",N,N,N,N,N,,N,,N,N,,N,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HAWAII (HI) CURRENT
SUMMARY",Eviction Cases & Enforcement Suspended,"The governor has issued an order suspending laws that allow for terminating tenancies and filing/prosecuting eviction actions for nonpayment of rent. The Hawaii Department of Public Safety Sheriff Division is suspending all eviction activities. Hawaii's Chief Justice issued an order presumptively suspending all civil hearings, including landlord-tenant matters, until after April 30. Most circuits have issued orders postponing all civil matters or in-person conferences ""[e]xcept for civil proceedings deemed urgent by the presiding judge."" The governor's office and the Public Utilities Commission are working with utility companies. Honolulu's Board of Water Supply will not shut off water service. And several utilities companies have announced that they will not shut off service due to nonpayment.",Court/Governor,,,Y,,,,7/31/20 (governor),,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,Y,Y,Y,N,Y,N,N,N,N,N,,,,,,,,,,,,,,,Y,
